archive,original_path,original_bytes,original_sha256,release_path,release_sha256,action,encoding
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/DE_c_ver2.vcxproj.filters,1388,d4699b966ed6c6907459dfa9f9c1335b85c52d729b619c1c1ea3a41465dbbae6,,,excluded: historical IDE project metadata; setup facts documented separately,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/DE_c_ver2.vcxproj.user,168,c06a75b13f855a94d46616796e024c52b499f8f92cf00ccb571ddbc6ff574676,,,excluded: historical IDE project metadata; setup facts documented separately,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/DE_image.bmp,327414,118ca2a492f4ae8afcb6dfeb314be185d6be5e4a15c5755f383c9f215e7061db,,,excluded: original sample media or derived image data; retained in input ZIP,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/filtering.c,2308,b094a9fb9681d782d942d673a12405ba179dbe264307d08d2bce67f04923c038,reference/c/floating_point/filtering.c,b0508125beea10a6f8d64e5450eb49856febc09851db295acef7f933ed3af12e,retained; UTF-8/LF normalization only,utf-8
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/lena.bmp,327414,80415cd495bbf9d203bece6b1473ee111d14551c13ad0fd6abfd6cad310985bb,,,excluded: original sample media or derived image data; retained in input ZIP,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/lena_2.bmp,1152054,16234657b25bbe88ef6683f048865fc4d84cad980b993e513ef9777050056b55,,,excluded: original sample media or derived image data; retained in input ZIP,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/main.c,340,c87489acd01934e5078c2bdc67a7bbd3439686a9c175e09ed262daf64c489706,reference/c/floating_point/main.c,ac1d007f833f6b1b19e5d3b7742c365ce267233bb9a52ec653692140da042526,retained; UTF-8/LF normalization only,utf-8
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/main.h,487,9db0d872c2e181328265817cc86bdc913a5632096221da83250aa25837dceca3,reference/c/floating_point/main.h,52409215395133d0bdbb5ec1193bddd352408d5f73f5e5f42a8264145917a78b,retained; UTF-8/LF normalization only,utf-8
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/read_image.c,1404,fee2c51439a45c760b21d97730e7f4015e45087c71c61142cee890397011b24e,reference/c/floating_point/read_image.c,a6b70b21cb7de8f1eae29bd05871c055997a8a08a3aea4ddc94689e5d8b32381,retained; UTF-8/LF normalization only,cp949
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/RGB_to_YCC.c,3366,7ac0a24317070910b7912ad5eeeee414d07b8c27289e9b9a67f8763859c331d6,reference/c/floating_point/RGB_to_YCC.c,4e241e6da0a8c3467dd2553fa3192b66fc1e733b770f9722b257d7dd9b141c46,retained; UTF-8/LF normalization only,utf-8
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/x64/Debug/DE_c_ver2.exe.recipe,304,fac22cc420f17793aa93f4cbf6a093a848dd7fc548de9da87d982cee5cf60ad8,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/x64/Debug/DE_c_ver2.ilk,853504,991ffb58af333691f2f5a4d0e841911c75641a216651efcfe34545af16295c23,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/x64/Debug/DE_c_ver2.log,104,c97fcabf8de657ba4687ac40fba56f39cd7098f8bcbfb29c9168f2b2b0ae0060,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/x64/Debug/DE_c_ver2.tlog/CL.command.1.tlog,3030,c04b5bd96cce21e24e109f17f993bbd82044346e8e822ce79380baa826e096e5,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/x64/Debug/DE_c_ver2.tlog/Cl.items.tlog,526,f0c07983bc66282a139b2a7b0945b10ac6318f587c840adfb2c8c02cd179cd7c,,,excluded: generated build/simulator/IDE artifact or historical output,
